Date,Close Price
12/08/2024,113.6200027
13/08/2024,116.9000015
14/08/2024,116.2399979
15/08/2024,118.8799973
16/08/2024,116.3099976
19/08/2024,119.1399994
20/08/2024,117.3799973
21/08/2024,117.6800003
22/08/2024,115.4499969
23/08/2024,116.8499985
26/08/2024,115.7099991
27/08/2024,116.7399979
28/08/2024,117.5299988
29/08/2024,116.5999985
30/08/2024,117.3099976
03/09/2024,114.9800034
04/09/2024,115.2099991
05/09/2024,116.1600037
06/09/2024,114.2799988
09/09/2024,116.3600006
10/09/2024,115.1200027
11/09/2024,115.9599991
12/09/2024,117.3600006
13/09/2024,117.75
16/09/2024,117.5500031
17/09/2024,122.1200027
18/09/2024,122.4199982
19/09/2024,128.75
20/09/2024,131.1799927
23/09/2024,129.0299988
24/09/2024,131.4799957
25/09/2024,130.7100067
26/09/2024,129.25
27/09/2024,128.25
30/09/2024,126.8099976
01/10/2024,125.4700012
02/10/2024,126.1800003
03/10/2024,125.2900009
04/10/2024,129.8500061
07/10/2024,130.2299957
08/10/2024,132.5
09/10/2024,135.4900055
10/10/2024,132.8099976
11/10/2024,134.3999939
14/10/2024,134.7899933
15/10/2024,133.2700043
16/10/2024,135.1499939
17/10/2024,136.0200043
18/10/2024,136.4499969
21/10/2024,137.1900024
22/10/2024,135.5899963
23/10/2024,131.9199982
24/10/2024,132.75
25/10/2024,134.5800018
28/10/2024,135.7799988
29/10/2024,137.7799988
30/10/2024,136.5
31/10/2024,134.7899933
01/11/2024,136.4600067
04/11/2024,136.8699951
05/11/2024,137.8200073
06/11/2024,140.9100037
07/11/2024,147.3699951
08/11/2024,134.6100006
11/11/2024,137.3999939
12/11/2024,133.1999969
13/11/2024,132.7599945
14/11/2024,134.5599976
15/11/2024,132.5
18/11/2024,132.1900024
19/11/2024,131.4400024
20/11/2024,135.25
21/11/2024,133.2599945
22/11/2024,137.3399963
25/11/2024,140.9299927
26/11/2024,139.6699982
27/11/2024,138.2799988
29/11/2024,136.1100006
02/12/2024,137.4900055
03/12/2024,137.4600067
04/12/2024,139.0700073
05/12/2024,136.3200073
06/12/2024,136.9199982
09/12/2024,137.2700043
10/12/2024,138.3000031
11/12/2024,138.8399963
12/12/2024,137.4700012
13/12/2024,130.9499969
16/12/2024,132.1999969
17/12/2024,132.2400055
18/12/2024,127.5400009
19/12/2024,129.3500061
20/12/2024,134.2100067
23/12/2024,134.5200043
24/12/2024,134.9900055
26/12/2024,135.3200073
27/12/2024,133.3849945
30/12/2024,131.8099976
31/12/2024,131.4100037
02/01/2025,131.4799957
03/01/2025,135.7100067
06/01/2025,135.1999969
07/01/2025,131.2899933
08/01/2025,130.8000031
10/01/2025,129.6300049
13/01/2025,128.8500061
14/01/2025,127.5999985
15/01/2025,132.5200043
16/01/2025,132.1600037
17/01/2025,135.1199951
21/01/2025,133.0700073
22/01/2025,132.5
23/01/2025,133.2400055
24/01/2025,127.0899963
27/01/2025,128.9600067
28/01/2025,131.0500031
29/01/2025,132.5800018
30/01/2025,131.7899933
31/01/2025,131.1699982
03/02/2025,129.7799988
04/02/2025,130.7400055
05/02/2025,129.6000061
06/02/2025,132.5700073
07/02/2025,134.9799957
10/02/2025,135.2050018
